,New York
0,0.0
1,2.8195944417412306
2,2.8472706117411803
3,2.926534104741222
4,3.0057975967412176
5,3.0850610897412025
6,3.1643245827411874
7,3.243588075741229
8,3.322851568741214
9,3.402115061741199
10,3.481378554741184
11,3.5606420477412257
12,3.6399055407412106
13,3.7191690337411956
14,3.7984325267411805
15,3.8776960197412222
16,3.956959512741207
17,4.036223005741192
18,4.115486498741177
19,4.194749990741229
20,4.274013483741214
21,4.353276976741199
22,4.432540469741184
23,4.511803962741226
24,4.591067455741211
25,4.670330948741196
26,4.749594441741181
27,5.9195944417411965
28,6.379594441741176
29,7.3395944417412124
30,8.419594441741197
31,8.679594441741187
32,9.31959444174123
33,9.449594441741226
34,7.799594441741192
35,5.5795944417412215
36,4.439594441741178
37,3.5895944417412124
38,3.3995944417412147
39,3.199594441741226
40,3.139594441741224
41,3.199594441741226
42,3.449594441741226
43,3.6495944417412147
44,3.7695944417412193
45,3.959594441741217
46,4.099594441741203
47,4.159594441741206
48,4.969594441741208
49,5.77959444174121
50,7.479594441741199
51,6.862927774741195
52,6.24626110874118
53,5.629594441741176
54,5.299594441741192
55,5.349594441741203
56,5.219594441741208
57,5.219594441741208
58,5.024594441741215
59,4.8295944417412215
60,4.899594441741215
61,5.039594441741201
62,4.789594441741201
63,4.719594441741208
64,4.729594441741199
65,4.789594441741201
66,4.8395944417412124
67,4.729594441741199
68,4.789594441741201
69,4.909594441741206
70,5.02959444174121
71,5.229594441741199
72,5.439594441741178
73,5.849594441741203
74,7.179594441741187
75,7.179594441741187
76,8.309594441741183
77,9.31959444174123
78,9.869594441741185
79,9.77959444174121
80,9.579594441741222
81,9.31959444174123
82,8.979594441741199
83,8.77959444174121
84,8.619594441741185
85,8.449594441741226
86,8.089594441741212
87,7.979594441741199
88,8.039594441741201
89,7.939594441741178
90,7.459594441741217
91,6.819594441741231
92,6.179594441741187
93,6.524594441741215
94,6.869594441741185
95,6.939594441741178
96,7.77959444174121
97,8.549594441741192
98,8.81959444174123
99,9.969594441741208
100,10.329594441741222
101,10.369594441741185
102,10.49959444174118
103,10.669594441741197
104,10.469594441741208
105,10.869594441741185
106,9.919594441741197
107,9.27959444174121
108,7.869594441741185
109,7.629594441741176
110,7.449594441741226
111,6.059594441741183
112,5.539594441741201
113,4.679594441741187
114,3.869594441741185
115,3.879594441741176
116,3.2595944417412284
117,2.639594441741224
118,2.379594441741176
119,2.469594441741208
120,2.8395944417412124
121,4.179594441741187
122,6.439594441741178
123,9.099594441741203
124,10.99959444174118
125,12.549594441741192
126,13.649594441741215
127,14.079594441741222
128,14.379594441741176
129,13.77959444174121
130,11.639594441741224
131,9.919594441741197
132,7.999594441741181
133,7.019594441741219
134,6.449594441741226
135,5.869594441741185
136,5.359594441741194
137,4.969594441741208
138,4.366261108741185
139,3.762927774741229
140,3.1595944417412056
141,3.27959444174121
142,3.3195944417412306
143,2.6595944417412056
144,4.23959444174119
145,6.0895944417412124
146,8.629594441741176
147,10.969594441741208
148,12.06959444174123
149,12.439594441741178
150,11.99959444174118
151,10.889594441741224
152,9.02959444174121
153,7.469594441741208
154,4.379594441741176
155,2.6095944417411943
156,1.4095944417412056
157,0.6595944417412056
158,-0.1904055582588171
159,-0.700405558258808
160,-1.1604055582587876
161,-1.4704055582587898
162,-2.370405558258824
163,-2.9904055582587716
164,-3.72040555825879
165,-4.500405558258819
166,-5.76040555825881
167,-4.130405558258815
168,-2.530405558258792
169,-1.7304055582587807
170,-1.6004055582587853
171,-1.0904055582587944
172,-1.3404055582587944
173,-1.4204055582587785
174,-1.200405558258808
175,-0.6604055582587876
176,-0.8104055582588217
177,-1.280405558258792
178,-1.710405558258799
179,-1.780405558258792
180,-2.3904055582588057
181,-2.7604055582588103
182,-3.1604055582587876
183,-3.210405558258799
184,-4.150405558258797
185,-4.940405558258817
186,-5.700405558258808
187,-5.8304055582588035
188,-6.34540555825879
189,-6.860405558258776
190,-7.380405558258815
191,-7.050405558258774
192,-5.000405558258819
193,-2.550405558258774
194,-1.870405558258824
195,-0.5004055582588194
196,-0.06040555825882166
197,0.31959444174123064
198,0.2295944417411988
199,0.37959444174117607
200,0.2295944417411988
201,-0.0004055582588193829
202,-0.8604055582587762
203,-1.4304055582587694
204,-1.690405558258817
205,-2.1404055582588057
206,-2.210405558258799
207,-2.3304055582588035
208,-2.3404055582587944
209,-2.460405558258799
210,-2.530405558258792
211,-2.020405558258801
212,-1.8804055582588148
213,-1.7270722252587802
214,-1.573738891258813
215,-1.4204055582587785
216,-1.5004055582588194
217,-1.190405558258817
218,-0.09040555825879437
219,0.2195944417412079
220,0.8795944417411761
221,1.8495944417412034
222,1.9095944417412056
223,1.9095944417412056
224,1.7795944417412102
225,1.0695944417412306
226,2.1345944417412284
227,3.199594441741226
228,3.199594441741226
229,3.199594441741226
230,3.199594441741226
231,3.199594441741226
232,3.199594441741226
233,2.879594441741176
234,2.559594441741183
235,0.299594441741192
236,0.15959444174120563
237,0.03959444174120108
238,-0.16040555825878755
239,-0.23040555825878073
240,0.13959444174122382
241,0.2795944417412102
242,1.4095944417412056
243,1.449594441741226
244,2.5620944417411806
245,3.674594441741192
246,4.787094441741203
247,5.899594441741215
248,5.899594441741215
249,5.869594441741185
250,4.569594441741231
251,3.27959444174121
252,2.8295944417412215
253,3.02959444174121
254,2.959594441741217
255,1.2795944417412102
256,-0.16040555825878755
257,-1.4304055582587694
258,-1.8904055582588057
259,-2.360405558258776
260,-3.130405558258815
261,-3.5104055582588103
262,-4.020405558258801
263,-4.480405558258781
264,-3.370405558258824
265,-2.270405558258801
266,-1.5704055582588126
267,-0.540405558258783
268,0.11959444174118516
269,1.8395944417412124
270,2.3995944417412147
271,2.5095944417412284
272,3.3595944417411943
273,3.2595944417412284
274,1.559594441741183
275,-0.38040555825881484
276,0.03559444174118198
277,0.4515944417411788
278,0.8675944417411756
279,1.2835944417412293
280,1.699594441741226
281,-5.240405558258772
282,-5.980405558258781
283,-5.730405558258781
284,-6.560405558258822
285,-6.450405558258808
286,-7.360405558258776
287,-6.880405558258815
288,-5.050405558258774
289,-2.6704055582587785
290,-0.4704055582587898
291,-0.6804055582587694
292,-0.34040555825879437
293,0.799594441741192
294,0.41959444174119653
295,0.6395944417412238
296,-0.23040555825878073
297,-1.1404055582588057
298,-1.8104055582588217
299,-2.6004055582587853
300,-3.1804055582587694
301,-4.270405558258801
302,-5.230405558258781
303,-6.370405558258824
304,-7.370405558258824
305,-8.210405558258799
306,-8.97040555825879
307,-9.950405558258808
308,-10.660405558258788
309,-11.780405558258792
310,-12.25040555825882
311,-12.580405558258803
312,-10.170405558258778
313,-7.820405558258813
314,-5.210405558258799
315,-3.4904055582587716
316,-2.620405558258824
317,-0.8904055582588057
318,-0.8004055582587739
319,-0.37040555825882393
320,-0.31040555825882166
321,-0.7804055582587921
322,-1.710405558258799
323,-2.550405558258774
324,-2.3204055582588126
325,-2.1004055582587853
326,-2.450405558258808
